"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2025/047 01:08:28.135531","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","TLSv1.3","1809","Client Hello (SNI=gew1-spclient.spotify.com)"
"2","2025/047 01:08:28.135743","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Initial, DCID=fdfa0b6eebec076a"
"3","2025/047 01:08:28.151581","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52889 [ACK] Seq=1 Ack=1433 Win=1047 Len=0"
"4","2025/047 01:08:28.152865","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52889 [ACK] Seq=1 Ack=1736 Win=1046 Len=0"
"5","2025/047 01:08:28.153717","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=fdfa0b6eebec076a"
"6","2025/047 01:08:28.154616","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.3","1294","Server Hello, Change Cipher Spec"
"7","2025/047 01:08:28.155625","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","902","443  >  52889 [PSH, ACK] Seq=1221 Ack=1736 Win=1046 Len=828 [TCP PDU reassembled in 10]"
"8","2025/047 01:08:28.155625","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","1294","443  >  52889 [ACK] Seq=2049 Ack=1736 Win=1046 Len=1220 [TCP PDU reassembled in 10]"
"9","2025/047 01:08:28.155700","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","TCP","74","52889  >  443 [ACK] Seq=1736 Ack=3269 Win=255 Len=0"
"10","2025/047 01:08:28.156392","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.3","263","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"11","2025/047 01:08:28.156457","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","TCP","74","52889  >  443 [ACK] Seq=1736 Ack=3458 Win=255 Len=0"
"12","2025/047 01:08:28.157732","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","TLSv1.3","138","Change Cipher Spec, Finished"
"13","2025/047 01:08:28.157993","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","HTTP2","166","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"14","2025/047 01:08:28.158206","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","HTTP2","779","HEADERS[1]: POST /gabo-receiver-service/public/v3/events"
"15","2025/047 01:08:28.158265","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","HTTP2/JSON","1458","DATA[1], JSON (application/json)"
"16","2025/047 01:08:28.168189","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2","692","SETTINGS[0], WINDOW_UPDATE[0]"
"17","2025/047 01:08:28.168189","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2","105","SETTINGS[0]"
