"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2025/047 12:52:04.952568","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1 Ack=1 Win=16 Len=0"
"2","2025/047 12:52:04.958480","206.247.60.204","10.0.0.4","TLSv1.2","97","Application Data"
"3","2025/047 12:52:05.012861","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=44 Ack=44 Win=255 Len=0"
"4","2025/047 12:52:05.023540","10.0.0.4","206.247.60.204","UDP","144","59139  >  8801 Len=102"
"5","2025/047 12:52:05.068792","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=44 Ack=44 Win=16 Len=0"
"6","2025/047 12:52:05.122393","10.0.0.4","206.247.60.204","UDP","150","59139  >  8801 Len=108"
"7","2025/047 12:52:05.173554","206.247.60.204","10.0.0.4","UDP","143","8801  >  59139 Len=101"
"8","2025/047 12:52:05.198802","2407:30c0:182::aa72:3416","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","TCP","74","443  >  63997 [ACK] Seq=1 Ack=1 Win=10 Len=0"
"9","2025/047 12:52:05.198828","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","2407:30c0:182::aa72:3416","TCP","74","[TCP ACKed unseen segment] 63997  >  443 [ACK] Seq=1 Ack=2 Win=255 Len=0"
"10","2025/047 12:52:05.222457","10.0.0.4","206.247.60.204","TLSv1.2","92","Application Data"
"11","2025/047 12:52:05.222541","10.0.0.4","206.247.60.204","UDP","145","59139  >  8801 Len=103"
"12","2025/047 12:52:05.283769","10.0.0.138","239.255.255.250","SSDP","446","NOTIFY * HTTP/1.1 "
"13","2025/047 12:52:05.283769","10.0.0.138","239.255.255.250","SSDP","518","NOTIFY * HTTP/1.1 "
"14","2025/047 12:52:05.283769","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"15","2025/047 12:52:05.283769","10.0.0.138","239.255.255.250","SSDP","514","NOTIFY * HTTP/1.1 "
"16","2025/047 12:52:05.284721","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"17","2025/047 12:52:05.284721","10.0.0.138","239.255.255.250","SSDP","494","NOTIFY * HTTP/1.1 "
"18","2025/047 12:52:05.284721","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"19","2025/047 12:52:05.284721","10.0.0.138","239.255.255.250","SSDP","508","NOTIFY * HTTP/1.1 "
"20","2025/047 12:52:05.285424","10.0.0.138","239.255.255.250","SSDP","526","NOTIFY * HTTP/1.1 "
"21","2025/047 12:52:05.285424","10.0.0.138","239.255.255.250","SSDP","510","NOTIFY * HTTP/1.1 "
"22","2025/047 12:52:05.285424","10.0.0.138","239.255.255.250","SSDP","510","NOTIFY * HTTP/1.1 "
"23","2025/047 12:52:05.322169","10.0.0.4","206.247.60.204","UDP","106","59139  >  8801 Len=64"
"24","2025/047 12:52:05.322219","10.0.0.4","206.247.60.204","UDP","144","59139  >  8801 Len=102"
"25","2025/047 12:52:05.348551","206.247.60.204","10.0.0.4","TLSv1.2","125","Application Data"
"26","2025/047 12:52:05.358399","10.0.0.4","206.247.60.204","TLSv1.2","104","Application Data"
"27","2025/047 12:52:05.363520","206.247.60.204","10.0.0.4","TCP","54","443  >  64046 [ACK] Seq=115 Ack=82 Win=16 Len=0"
"28","2025/047 12:52:05.363520","206.247.60.204","10.0.0.4","TLSv1.2","92","Application Data"
"29","2025/047 12:52:05.379072","206.247.60.204","10.0.0.4","TLSv1.2","103","Application Data"
"30","2025/047 12:52:05.379136","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=132 Ack=202 Win=254 Len=0"
"31","2025/047 12:52:05.379245","10.0.0.4","206.247.60.204","TLSv1.2","121","Application Data"
"32","2025/047 12:52:05.394933","HeightsTelec_44:3a:5b","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.138"
"33","2025/047 12:52:05.422448","10.0.0.4","206.247.60.204","UDP","152","59139  >  8801 Len=110"
"34","2025/047 12:52:05.473058","206.247.60.204","10.0.0.4","UDP","143","8801  >  59139 Len=101"
"35","2025/047 12:52:05.520506","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=202 Ack=199 Win=16 Len=0"
"36","2025/047 12:52:05.522304","10.0.0.4","206.247.60.204","UDP","146","59139  >  8801 Len=104"
"37","2025/047 12:52:05.536965","10.0.0.138","239.255.255.250","SSDP","510","NOTIFY * HTTP/1.1 "
"38","2025/047 12:52:05.538769","10.0.0.138","239.255.255.250","SSDP","510","NOTIFY * HTTP/1.1 "
"39","2025/047 12:52:05.540013","10.0.0.138","239.255.255.250","SSDP","526","NOTIFY * HTTP/1.1 "
"40","2025/047 12:52:05.542105","10.0.0.138","239.255.255.250","SSDP","508","NOTIFY * HTTP/1.1 "
"41","2025/047 12:52:05.543038","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"42","2025/047 12:52:05.543973","10.0.0.138","239.255.255.250","SSDP","494","NOTIFY * HTTP/1.1 "
"43","2025/047 12:52:05.544461","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"44","2025/047 12:52:05.545113","10.0.0.138","239.255.255.250","SSDP","514","NOTIFY * HTTP/1.1 "
"45","2025/047 12:52:05.546028","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"46","2025/047 12:52:05.546859","10.0.0.138","239.255.255.250","SSDP","518","NOTIFY * HTTP/1.1 "
"47","2025/047 12:52:05.547335","10.0.0.138","239.255.255.250","SSDP","446","NOTIFY * HTTP/1.1 "
"48","2025/047 12:52:05.622369","10.0.0.4","206.247.60.204","UDP","143","59139  >  8801 Len=101"
"49","2025/047 12:52:05.709909","2a00:1450:4028:80a::200a","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","TLSv1.2","147","Application Data"
"50","2025/047 12:52:05.710191","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","2a00:1450:4028:80a::200a","TCP","74","63964  >  443 [FIN, ACK] Seq=1 Ack=74 Win=255 Len=0"
"51","2025/047 12:52:05.721142","2a00:1450:4028:80a::200a","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","TCP","74","443  >  63964 [FIN, ACK] Seq=74 Ack=2 Win=1038 Len=0"
"52","2025/047 12:52:05.721197","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","2a00:1450:4028:80a::200a","TCP","74","63964  >  443 [ACK] Seq=2 Ack=75 Win=255 Len=0"
"53","2025/047 12:52:05.722880","10.0.0.4","206.247.60.204","UDP","153","59139  >  8801 Len=111"
"54","2025/047 12:52:05.772878","206.247.60.204","10.0.0.4","UDP","143","8801  >  59139 Len=101"
"55","2025/047 12:52:05.822335","10.0.0.4","206.247.60.204","UDP","144","59139  >  8801 Len=102"
"56","2025/047 12:52:05.873692","10.0.0.4","206.247.60.204","UDP","123","59137  >  8801 Len=81"
"57","2025/047 12:52:05.901721","206.247.60.204","10.0.0.4","TLSv1.2","124","Application Data"
"58","2025/047 12:52:05.901888","10.0.0.4","206.247.60.204","TLSv1.2","104","Application Data"
"59","2025/047 12:52:05.902190","206.247.60.204","10.0.0.4","TLSv1.2","1047","Application Data"
"60","2025/047 12:52:05.922301","10.0.0.4","206.247.60.204","UDP","143","59139  >  8801 Len=101"
"61","2025/047 12:52:05.927585","10.0.0.4","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"62","2025/047 12:52:05.927922","fe80::516e:990b:e6dc:35ff","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"63","2025/047 12:52:05.949306","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=249 Ack=1265 Win=250 Len=0"
"64","2025/047 12:52:05.953620","10.0.0.4","206.247.60.204","TLSv1.2","97","Application Data"
"65","2025/047 12:52:06.022355","10.0.0.4","206.247.60.204","UDP","123","59139  >  8801 Len=81"
