"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2025/047 01:12:52.968993","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","249","51741  >  443 Len=187"
"2","2025/047 01:12:52.976879","2a06:c700:2002:b:face:b00c:3333:7020","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.2","113","Application Data"
"3","2025/047 01:12:52.976945","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c700:2002:b:face:b00c:3333:7020","TCP","74","52967  >  443 [ACK] Seq=1 Ack=40 Win=1021 Len=0"
"4","2025/047 01:12:52.978451","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1287","443  >  51741 Len=1225"
"5","2025/047 01:12:52.978451","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"6","2025/047 01:12:52.979791","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"7","2025/047 01:12:52.979791","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"8","2025/047 01:12:52.979791","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"9","2025/047 01:12:52.979791","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"10","2025/047 01:12:52.979791","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"11","2025/047 01:12:52.980504","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
