"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2025/047 00:41:20.278064","HeightsTelec_44:3a:5b","Broadcast","0x1ee4","206","Ethernet II"
"2","2025/047 00:41:20.967454","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c701:4f46:4100::1","DNS","90","Standard query 0xd010 A github.com"
"3","2025/047 00:41:20.967456","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c701:4f46:4100::1","DNS","103","Standard query 0xa6ab A safebrowsing.google.com"
"4","2025/047 00:41:20.967874","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c701:4f46:4100::1","DNS","103","Standard query 0xa536 AAAA safebrowsing.google.com"
"5","2025/047 00:41:20.968182","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a06:c701:4f46:4100::1","DNS","90","Standard query 0x16be AAAA github.com"
"6","2025/047 00:41:20.983224","2a06:c701:4f46:4100::1","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","DNS","329","Standard query response 0xd010 A github.com A 20.217.135.5 NS dns1.p08.nsone.net NS dns2.p08.nsone.net NS dns3.p08.nsone.net NS dns4.p08.nsone.net NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net"
"7","2025/047 00:41:20.986268","2a06:c701:4f46:4100::1","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","DNS","138","Standard query response 0xa6ab A safebrowsing.google.com CNAME sb.l.google.com A 142.250.75.110"
"8","2025/047 00:41:20.990257","2a06:c701:4f46:4100::1","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","DNS","150","Standard query response 0xa536 AAAA safebrowsing.google.com CNAME sb.l.google.com AAAA 2a00:1450:4028:806::200e"
"9","2025/047 00:41:20.990638","2a06:c701:4f46:4100::1","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","DNS","174","Standard query response 0x16be AAAA github.com SOA ns-1707.awsdns-21.co.uk"
"10","2025/047 00:41:20.992943","10.0.0.4","20.217.135.5","TCP","66","50641  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","2025/047 00:41:20.999069","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","1292","Initial, DCID=62c5a349060eb6fb, PKN: 1, CRYPTO"
"12","2025/047 00:41:20.999204","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","1292","Initial, DCID=62c5a349060eb6fb, PKN: 2, CRYPTO"
"13","2025/047 00:41:20.999254","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","1292","Initial, DCID=62c5a349060eb6fb, PKN: 3, PING, PING, PING, PADDING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING"
"14","2025/047 00:41:21.021029","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","TCP","86","50642  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"15","2025/047 00:41:21.045636","20.217.135.5","10.0.0.4","TCP","66","443  >  50641 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
"16","2025/047 00:41:21.045774","10.0.0.4","20.217.135.5","TCP","54","50641  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"17","2025/047 00:41:21.046799","10.0.0.4","20.217.135.5","TLSv1.3","1885","Client Hello (SNI=github.com)"
"18","2025/047 00:41:21.047078","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","1292","Initial, DCID=62c5a349060eb6fb, PKN: 5, CRYPTO"
"19","2025/047 00:41:21.048369","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","102","Initial, SCID=e2c5a349060eb6fb, PKN: 1, ACK"
"20","2025/047 00:41:21.048369","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","102","Initial, SCID=e2c5a349060eb6fb, PKN: 2, ACK"
"21","2025/047 00:41:21.049319","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=e2c5a349060eb6fb, PKN: 3, ACK, PADDING"
"22","2025/047 00:41:21.049319","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=e2c5a349060eb6fb, PKN: 4, ACK, PADDING"
"23","2025/047 00:41:21.075672","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","86","443  >  50642 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1432 SACK_PERM WS=256"
"24","2025/047 00:41:21.075825","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","TCP","74","50642  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"25","2025/047 00:41:21.077853","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","TLSv1.3","2302","Client Hello (SNI=safebrowsing.google.com)"
"26","2025/047 00:41:21.078681","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","144","0-RTT, DCID=e2c5a349060eb6fb"
"27","2025/047 00:41:21.095520","20.217.135.5","10.0.0.4","TCP","60","443  >  50641 [ACK] Seq=1 Ack=1832 Win=71680 Len=0"
"28","2025/047 00:41:21.097296","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=e2c5a349060eb6fb, PKN: 5, ACK, PADDING"
"29","2025/047 00:41:21.097670","20.217.135.5","10.0.0.4","TLSv1.3","1465","Server Hello, Change Cipher Spec, Encrypted Extensions"
"30","2025/047 00:41:21.099383","20.217.135.5","10.0.0.4","TCP","1465","443  >  50641 [PSH, ACK] Seq=1412 Ack=1832 Win=71680 Len=1411 [TCP PDU reassembled in 31]"
"31","2025/047 00:41:21.099383","20.217.135.5","10.0.0.4","TLSv1.3","722","Certificate, Certificate Verify, Finished"
"32","2025/047 00:41:21.099383","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=e2c5a349060eb6fb, PKN: 6, CRYPTO, PADDING"
"33","2025/047 00:41:21.099383","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","362","Protected Payload (KP0), PKN: 8, STREAM(3), SETTINGS"
"34","2025/047 00:41:21.099503","10.0.0.4","20.217.135.5","TCP","54","50641  >  443 [ACK] Seq=1832 Ack=3491 Win=65280 Len=0"
"35","2025/047 00:41:21.100048","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","992","Protected Payload (KP0), PKN: 9, CRYPTO"
"36","2025/047 00:41:21.100048","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","115","Protected Payload (KP0), PKN: 10, CRYPTO"
"37","2025/047 00:41:21.101141","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","1292","Handshake, DCID=e2c5a349060eb6fb, PKN: 8, ACK, CRYPTO"
"38","2025/047 00:41:21.101338","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","93","Protected Payload (KP0), DCID=e2c5a349060eb6fb, PKN: 9, ACK"
"39","2025/047 00:41:21.102030","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","HTTP3","1052","Protected Payload (KP0), DCID=e2c5a349060eb6fb, PKN: 10, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: POST /safebrowsing/clientreport/realtime, DATA"
"40","2025/047 00:41:21.118698","10.0.0.4","20.217.135.5","TLSv1.3","118","Change Cipher Spec, Finished"
"41","2025/047 00:41:21.119263","10.0.0.4","20.217.135.5","HTTP2","146","Magic, SETTINGS[0], WINDOW_UPDATE[0]"
"42","2025/047 00:41:21.119706","10.0.0.4","20.217.135.5","HTTP2","1051","HEADERS[1]: GET /copilot"
"43","2025/047 00:41:21.127250","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  50642 [ACK] Seq=1 Ack=1433 Win=268032 Len=0"
"44","2025/047 00:41:21.127908","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  50642 [ACK] Seq=1 Ack=2229 Win=267264 Len=0"
"45","2025/047 00:41:21.132996","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=e2c5a349060eb6fb, PKN: 12, CRYPTO, PADDING"
"46","2025/047 00:41:21.148545","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","86","Protected Payload (KP0), PKN: 13, ACK"
"47","2025/047 00:41:21.148545","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","362","Protected Payload (KP0), PKN: 16, STREAM(3), SETTINGS"
"48","2025/047 00:41:21.149131","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","HTTP3","1136","Protected Payload (KP0), DCID=e2c5a349060eb6fb, PKN: 12, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: POST /safebrowsing/clientreport/realtime, DATA"
"49","2025/047 00:41:21.156957","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","182","Protected Payload (KP0), PKN: 17, DONE, NT, NCI"
"50","2025/047 00:41:21.157685","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","98","Protected Payload (KP0), DCID=e2c5a349060eb6fb, PKN: 13, ACK"
"51","2025/047 00:41:21.165544","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","1294","443  >  50642 [ACK] Seq=1 Ack=2229 Win=267264 Len=1220 [TCP PDU reassembled in 53]"
"52","2025/047 00:41:21.165544","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","91","Protected Payload (KP0), PKN: 18, ACK, STREAM(7)"
"53","2025/047 00:41:21.165544","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.3","326","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"54","2025/047 00:41:21.165680","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","TCP","74","50642  >  443 [ACK] Seq=2229 Ack=1473 Win=65280 Len=0"
"55","2025/047 00:41:21.165994","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","QUIC","97","Protected Payload (KP0), DCID=e2c5a349060eb6fb, PKN: 14, ACK"
"56","2025/047 00:41:21.166953","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","TLSv1.3","148","Change Cipher Spec, Encrypted Extensions, Finished"
"57","2025/047 00:41:21.170953","20.217.135.5","10.0.0.4","TLSv1.3","133","New Session Ticket"
"58","2025/047 00:41:21.171435","20.217.135.5","10.0.0.4","TLSv1.3","133","New Session Ticket"
"59","2025/047 00:41:21.171495","10.0.0.4","20.217.135.5","TCP","54","50641  >  443 [ACK] Seq=2985 Ack=3649 Win=65280 Len=0"
"60","2025/047 00:41:21.172266","20.217.135.5","10.0.0.4","HTTP2","118","SETTINGS[0], SETTINGS[0]"
"61","2025/047 00:41:21.172531","10.0.0.4","20.217.135.5","HTTP2","85","SETTINGS[0]"
"62","2025/047 00:41:21.190024","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","89","Protected Payload (KP0), PKN: 19, ACK"
"63","2025/047 00:41:21.204184","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2","1050","SETTINGS[0], WINDOW_UPDATE[0]"
"64","2025/047 00:41:21.204184","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  50642 [ACK] Seq=1473 Ack=2303 Win=267264 Len=0"
"65","2025/047 00:41:21.204291","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:806::200e","TCP","74","50642  >  443 [ACK] Seq=2303 Ack=2449 Win=64512 Len=0"
"66","2025/047 00:41:21.206838","20.217.135.5","10.0.0.4","TCP","60","443  >  50641 [ACK] Seq=3713 Ack=3016 Win=74752 Len=0"
"67","2025/047 00:41:21.237615","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","267","Protected Payload (KP0), PKN: 20, STREAM(11), STREAM(0), HEADERS: 200 OK, DATA"
"68","2025/047 00:41:21.237615","2a00:1450:4028:806::200e","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","83","Protected Payload (KP0), PKN: 21, STREAM(0)"
